ODB-ID;Gemeinde;Ort;PLZ;Strasse / Nr.;Ensemble;Objekt;publiziertes PDF;GVZ Nr.;Baujahr;Einstufung;Datum Erlass;Erlass;Eigentumsbeschränkung;Grundbucheintrag;E-Koordinate;N-Koordinate
Objekt 14287;Adlikon;Niederwil;8452;Oberwilerstrasse 4;;Bauernhaus;;02100096;1820;-;;;PD;10.03.1978;2696187;1270513
Objekt 2064;Adlikon;Niederwil;8452;"Andelfingerstrasse 11; Andelfingerstrasse 9";;Bauernhaus, ehem.;;02100092;1790;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton;PD;24.01.1977;2696185;1270634
Objekt 13331;Adlikon;Adlikon;8452;Steimerlenstrasse 4;;Bauernhaus, ehem.;;02100046;1800;-;;;PD;16.11.1981;2694347;1271062
Objekt 1182;Adlikon;Dätwil;8452;;"Ossingen/Adlikon: Bahnhofanlage Ossingen mit Eisenbahnviadukt; Ossingen/Adlikon: Eisenbahnbrücke über die Thur";Eisenbahnbrücke über die Thur, südliche Hälfte;;;1;kantonal;19.12.1979;RRB 5113/1979 Liste Kanton;-;;2696622;1273110
Objekt 14994;Adlikon;Dätwil;8452;Hauptstrasse 18;Adlikon: Mühle/Bauernhaus, ehem.;Hausteil 2;;02100149;1820;-;;;PD;23.11.1977;2695597;1272466
Objekt 5154;Adliswil;Adliswil;8134;Webereistrasse 49;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Fabrikareal";Ehem. Pferdestall und Scheune;;13100470;1873~1874;regional;19.12.1979;RRB Nr. 3331/1985 Zimmerberg, RRB Nr. 5113/1979 Liste Kanton;ÖREB;06.07.2016;2682186;1240074
Objekt 15914;Adliswil;Adliswil;8134;Kilchbergstrasse 2 bei;Adliswil: Ehem. Wirtshaus «Zum Bierhaus» mit Nebengebäude;Ehem. Werkstattgebäude, sog. «Uhrenmacherhüsli»;;13100501;1887;-;;;PD;06.10.1999;2682333;1240701
Objekt 14539;Adliswil;Adliswil;8134;Kilchbergstrasse 2;Adliswil: Ehem. Wirtshaus «Zum Bierhaus» mit Nebengebäude;Ehem. Wirtshaus;;13100500;1733;-;;;PD;06.10.1999;2682323;1240697
Objekt 5155;Adliswil;Adliswil;8134;"Sihlweg 1; Sihlweg 3; Sihlweg 5; Sihlweg 7; Webereistrasse 56; Webereistrasse 58; Webereistrasse 60; Webereistrasse 62; Webereistrasse 64; Webereistrasse 66; Webereistrasse 68";"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Fabrikareal";Flachbau mit Shedhallen;;13100468;1875~1887;regional;19.12.1979;RRB Nr. 3331/1985 Zimmerberg, RRB Nr. 5113/1979 Liste Kanton;ÖREB;06.07.2016;2682143;1239933
Objekt 1293;Adliswil;Adliswil;8134;;Adliswil: Sperrstelle 5104;Geschützstand A04800;;;1;kantonal;;;-;;2681486;1239298
Objekt 1294;Adliswil;Adliswil;8134;;Adliswil: Sperrstelle 5104;Geschützstand A04801;;;1;regional;;;-;;2681581;1239274
Objekt 5156;Adliswil;Adliswil;8134;"Fabrikhof MSA; Webereistrasse 55; Webereistrasse 57; Webereistrasse 59; Webereistrasse 61; Webereistrasse 63; Webereistrasse 65; Webereistrasse 67; Webereistrasse 69; Webereistrasse 71";"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Fabrikareal";Hauptgebäude von 1862;;13100458;1862~1897;regional;19.12.1979;RRB Nr. 3331/1985 Zimmerberg, RRB Nr. 5113/1979 Liste Kanton;ÖREB;06.07.2016;2682176;1239944
Objekt 13468;Adliswil;Adliswil;8134;Kronenstrasse 1;;Hausteil 1;;13100504;1731;-;;;PD;20.01.1999;2682312;1240680
Objekt 5027;Adliswil;Adliswil;8134;Rellstenstrasse 2;;Kirche, kath. Dreifaltigkeitskirche;;13100393;1904;kantonal;19.12.1979;RRB Nr. 3331/1985 Zimmerberg, RRB Nr. 5113/1979 Liste Kanton;PD;15.08.2012;2681937;1240805
Objekt 5434;Adliswil;Adliswil;8134;Kirchstrasse;;Kirche, ref.;;13100540;1898;kantonal;19.12.1979;RRB Nr. 3331/1985 Zimmerberg, RRB Nr. 5113/1979 Liste Kanton;-;;2682337;1240326
Objekt 10631;Adliswil;Adliswil;8134;Buttenaustrasse 1;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Buttenaustrasse 1;;13100102;1909~1912;regional;;;-;;2682121;1239756
Objekt 10666;Adliswil;Adliswil;8134;Buttenaustrasse 10;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Buttenaustrasse 10;;13101056;1909~1912;regional;;;-;;2682086;1239715
Objekt 10636;Adliswil;Adliswil;8134;Buttenaustrasse 12;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Buttenaustrasse 12;;13100110;1909~1912;regional;;;-;;2682089;1239698
Objekt 10637;Adliswil;Adliswil;8134;Buttenaustrasse 2;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Buttenaustrasse 2;;13100130;1909~1912;regional;;;-;;2682100;1239776
Objekt 10663;Adliswil;Adliswil;8134;Buttenaustrasse 4;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Buttenaustrasse 4;;13101053;1909~1912;regional;;;-;;2682093;1239758
Objekt 10664;Adliswil;Adliswil;8134;Buttenaustrasse 6;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Buttenaustrasse 6;;13101054;1909~1912;regional;;;-;;2682093;1239747
Objekt 10635;Adliswil;Adliswil;8134;Buttenaustrasse 7;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Buttenaustrasse 7;;13100108;1909~1912;regional;;;-;;2682119;1239669
Objekt 10665;Adliswil;Adliswil;8134;Buttenaustrasse 8;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Buttenaustrasse 8;;13101055;1909~1912;regional;;;-;;2682086;1239727
Objekt 10633;Adliswil;Adliswil;8134;Buttenaustrasse 9;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Buttenaustrasse 9;;13100105;1909~1912;regional;;;-;;2682145;1239636
Objekt 10630;Adliswil;Adliswil;8134;Sihlaustrasse 1;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 1;;13100101;1909~1912;regional;;;-;;2682116;1239731
Objekt 10662;Adliswil;Adliswil;8134;Sihlaustrasse 10;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 10;;13101052;1909~1912;regional;;;-;;2682166;1239646
Objekt 10657;Adliswil;Adliswil;8134;Sihlaustrasse 11;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 11;;13101047;1909~1912;regional;;;-;;2682184;1239662
Objekt 10658;Adliswil;Adliswil;8134;Sihlaustrasse 13;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 13;;13101048;1909~1912;regional;;;-;;2682190;1239656
Objekt 10632;Adliswil;Adliswil;8134;Sihlaustrasse 14;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 14;;13100103;1909~1912;regional;;;-;;2682222;1239632
Objekt 10628;Adliswil;Adliswil;8134;Sihlaustrasse 15;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 15;;13100094;1909~1912;regional;;;-;;2682205;1239646
Objekt 10651;Adliswil;Adliswil;8134;Sihlaustrasse 16;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 16;;13101041;1909~1912;regional;;;-;;2682234;1239645
Objekt 10650;Adliswil;Adliswil;8134;Sihlaustrasse 17;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 17;;13101040;1909~1912;regional;;;-;;2682219;1239660
Objekt 10652;Adliswil;Adliswil;8134;Sihlaustrasse 18;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 18;;13101042;1909~1912;regional;;;-;;2682242;1239638
Objekt 10659;Adliswil;Adliswil;8134;Sihlaustrasse 2;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 2;;13101049;1909~1912;regional;;;-;;2682115;1239699
Objekt 10648;Adliswil;Adliswil;8134;Sihlaustrasse 21;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 21;;13101038;1909~1912;regional;;;-;;2682189;1239686
Objekt 10647;Adliswil;Adliswil;8134;Sihlaustrasse 23;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 23;;13101037;1909~1912;regional;;;-;;2682183;1239692
Objekt 10646;Adliswil;Adliswil;8134;Sihlaustrasse 25;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 25;;13101036;1909~1912;regional;;;-;;2682167;1239684
Objekt 10644;Adliswil;Adliswil;8134;Sihlaustrasse 29;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 29;;13101034;1909~1912;regional;;;-;;2682156;1239694
Objekt 10653;Adliswil;Adliswil;8134;Sihlaustrasse 3;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 3;;13101043;1909~1912;regional;;;-;;2682132;1239721
Objekt 10643;Adliswil;Adliswil;8134;Sihlaustrasse 31;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 31;;13101033;1909~1912;regional;;;-;;2682164;1239711
Objekt 10642;Adliswil;Adliswil;8134;Sihlaustrasse 33;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 33;;13101032;1909~1912;regional;;;-;;2682158;1239717
Objekt 10629;Adliswil;Adliswil;8134;Sihlaustrasse 35;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 35;;13100100;1909~1912;regional;;;-;;2682139;1239738
Objekt 10660;Adliswil;Adliswil;8134;Sihlaustrasse 4;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 4;;13101050;1909~1912;regional;;;-;;2682122;1239691
Objekt 10654;Adliswil;Adliswil;8134;Sihlaustrasse 5;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 5;;13101044;1909~1912;regional;;;-;;2682136;1239716
Objekt 10634;Adliswil;Adliswil;8134;Sihlaustrasse 6;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 6;;13100107;1909~1912;regional;;;-;;2682141;1239670
Objekt 10655;Adliswil;Adliswil;8134;Sihlaustrasse 7;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 7;;13101045;1909~1912;regional;;;-;;2682143;1239710
Objekt 10645;Adliswil;Adliswil;8134;Sihlaustrasse 7a;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 7a;;13101035;1909~1912;regional;;;-;;2682161;1239689
Objekt 10661;Adliswil;Adliswil;8134;Sihlaustrasse 8;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 8;;13101051;1909~1912;regional;;;-;;2682158;1239652
Objekt 10656;Adliswil;Adliswil;8134;Sihlaustrasse 9;"Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser; Adliswil: Ehem. Weberei MSA: Kosthäuser";Kosthaus Sihlaustrasse 9;;13101046;1909~1912;regional;;;-;;2682179;1239668
Objekt 5769;Adliswil;Adliswil;8134;Grundstrasse 14;;Methodistenkapelle;;13100569;1895~1896;regional;19.12.1979;RRB Nr. 3331/1985 Zimmerberg, RRB Nr. 5113/1979 Liste Kanton;ÖREB;07.05.1992;2682517;1240655
Objekt 6283;Adliswil;Adliswil;8134;Schulhausstrasse 4;Adliswil: Schulanlage Zentrum/Kronenwiese;Realschulhaus Kronenwiese;;13101182;1949;regional;03.01.2005;BDV Nr. 0355/2005 Einzelaufstufung;ÖREB;28.02.2005;2682399;1240828
Objekt 5839;Adliswil;Adliswil;8134;Schulhausstrasse 3;Adliswil: Schulanlage Zentrum/Kronenwiese;Sekundarschulhaus Kronenwiese;;13100698;1909;regional;;;-;;2682489;1240884
Objekt 15483;Adliswil;Adliswil;8134;;Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser;Sihlausteg;;;1907;regional;26.08.1998;RRB Nr. 1937/1998 Einzelaufstufung;PD;22.11.2004;2682197;1239819
Objekt 4577;Adliswil;Adliswil;8134;Kanalweg 65;;Trafostation N 290-Turm;;13100065;1934;regional;;;-;;2682264;1241130
Objekt 5838;Adliswil;Adliswil;8134;Schulhausstrasse 5;Adliswil: Schulanlage Zentrum/Kronenwiese;Turnhalle;;13100697;1910;regional;;;-;;2682507;1240835
Objekt 14538;Adliswil;Adliswil;8134;Buttenaustrasse 40;;Wohnhaus;;13100086;1800;-;;;PD;30.11.1981;2682335;1239392
Objekt 10649;Adliswil;Adliswil;8134;Sihlaustrasse 19;Adliswil: Ehem. Weberei MSA: Fabrikareal und Kosthäuser;Wohnhaus Sihlaustrasse 19;;13101039;1910;regional;;;-;;2682212;1239667
Objekt 2424;Aesch (ZH);Aesch;8904;Dorfstrasse 8;;Ehem. Schulhaus «Türmlihaus»;;24100091;1809;regional;19.12.1979;RRB Nr. 1625/1984 Limmattal, RRB Nr. 5113/1979 Liste Kanton;-;;2675546;1243440
Objekt 143;Aesch (ZH);Aesch;8904;Hornstrasse 6;Aesch (ZH): Vielzweckhaus, sog. «Hafnerhaus»;Hausteil 1;;24100330;1;-;;;PD;25.03.1977;2675511;1243453
Objekt 144;Aesch (ZH);Aesch;8904;Hornstrasse 4;Aesch (ZH): Vielzweckhaus, sog. «Hafnerhaus»;Hausteil 2;;24100331;1;-;;;PD;25.03.1977;2675518;1243457
Objekt 145;Aesch (ZH);Aesch;8904;Hornstrasse 2;Aesch (ZH): Vielzweckhaus, sog. «Hafnerhaus»;Scheune;;24100332;1;-;;;PD;25.03.1977;2675523;1243461
Objekt 6540;Aesch (ZH);Aesch;8904;"Feldstrasse 5; Feldstrasse 7";;Wohnhaus;;24100022;1811;kantonal;19.12.1979;RRB Nr. 1625/1984 Limmattal, RRB Nr. 5113/1979 Liste Kanton;PD;31.03.1999;2675695;1243506
Objekt 3063;Aeugst am Albis;Aeugst am Albis;8914;Chileweg 2a;;Kirche, ref.;;00100846;1667;kantonal;19.12.1979;RRB Nr. 3438/1984 Knonaueramt, RRB Nr. 5113/1979 Liste Kanton;-;;2679424;1235656
Objekt 2711;Aeugst am Albis;Aeugst am Albis;8914;Chileweg 2;;Pfarrhaus, ref.;;00100844;1667;regional;19.12.1979;RRB Nr. 3438/1984 Knonaueramt, RRB Nr. 5113/1979 Liste Kanton;PD;05.09.1973;2679397;1235713
Objekt 12360;Aeugst am Albis;Aeugstertal;8914;Habersaatweg 10;Aeugst am Albis: Wohnhaus mit Speicher;Speicher;;00100059;1598;kantonal;28.01.2008;BDV Nr. 3007/2008 Einzelfestsetzung ohne Inventarblatt, AREV Nr. 1446/2017 Inventarblatt;ÖREB;10.04.2008;2680599;1236865
Objekt 16018;Aeugst am Albis;Aeugst am Albis;8914;Unterdorf 12a;;Transformatorenstation Unterdorf;;00100526;1911;regional;13.11.2017;AREV Nr. 1446/2017 Liste und Inventarblatt;-;;2679153;1235622
Objekt 4539;Affoltern am Albis;Affoltern am Albis;8910;Butzenstrasse 8;Affoltern am Albis: Primarschulanlage Butzen;Abwartshaus;;00200928;1965;regional;13.11.2017;AREV Nr. 1446/2017 Liste und Inventarblatt;-;;2677088;1236779
Objekt 4369;Affoltern am Albis;Affoltern am Albis;8910;Kirchgasse 4;Affoltern am Albis: Primarschulanlage Chilefeld;Altes Primarschulhaus;;00200921;1878~1879;regional;13.11.2017;AREV Nr. 1446/2017 Liste und Inventarblatt;PD;14.12.1981;2676995;1236909
Objekt 7078;Affoltern am Albis;Zwillikon;8909;Schulrain 8;;Altes Schulhaus Zwillikon;;00202424;1838;regional;13.11.2017;AREV Nr. 1446/2017 Liste und Inventarblatt;-;;2675071;1237807
Objekt 4445;Affoltern am Albis;Affoltern am Albis;8910;Butzenstrasse 2;Affoltern am Albis: Primarschulanlage Chilefeld;Altes Sekundarschulhaus;;00200925;1899~1900;regional;19.12.1979;RRB Nr. 3438/1984 Knonaueramt, RRB Nr. 5113/1979 Liste Kanton;PD;17.02.1994;2677039;1236972
Objekt 3462;Affoltern am Albis;Affoltern am Albis;8910;Zürichstrasse 92;;Arzthaus, ehem.;;00200156;1867;regional;19.12.1979;RRB Nr. 3438/1984 Knonaueramt, RRB Nr. 5113/1979 Liste Kanton;-;;2676863;1236816
Objekt 4804;Affoltern am Albis;Zwillikon;8909;Weihermattstrasse 10;Affoltern am Albis: Hofgruppe «Im Loo»;Doppelbauernhaus;;00202202;1741;regional;23.11.1988;RRB Nr. 3535/1988 Einzelfestsetzung ohne Inventarblatt, AREV Nr. 1446/2017 Inventarblatt;PD;13.07.1990;2675924;1237944
Objekt 4802;Affoltern am Albis;Affoltern am Albis;8910;Butzenstrasse 11;;Doppelbauernhaus, sog. «Butzenhaus»;;00202172;1798;regional;19.12.1979;RRB Nr. 3438/1984 Knonaueramt, RRB Nr. 5113/1979 Liste Kanton;ÖREB;10.02.2006;2677291;1236701
Objekt 4698;Affoltern am Albis;Affoltern am Albis;8910;Gartenstrasse 25;;Doppelkindergarten Haupel;;00201113;1960~1962;regional;13.11.2017;AREV Nr. 1446/2017 Liste und Inventarblatt;-;;2676738;1236351
Objekt 16075;Affoltern am Albis;Affoltern am Albis;8910;Obere Bahnhofstrasse 5;;Druckerei Weiss;;00200088;1904~1990;regional;13.11.2017;AREV Nr. 1446/2017 Liste und Inventarblatt;-;;2676583;1236694
Objekt 4235;Affoltern am Albis;Affoltern am Albis;8910;Zürichstrasse 136;Affoltern am Albis: Ehem. Bezirks- und Gerichtsgebäude mit ehem. Bezirksgefängnis;Ehem. Bezirks- und Gerichtsgebäude;;00200200;1839;regional;19.12.1979;RRB Nr. 5113/1979 Liste, RRB Nr. 3438/1984 Inventarblatt, AREV Nr. 1446/2017 Inventarblatt;PD;30.06.1989;2676838;1237166
Objekt 4234;Affoltern am Albis;Affoltern am Albis;8910;Zürichstrasse 138;Affoltern am Albis: Ehem. Bezirks- und Gerichtsgebäude mit ehem. Bezirksgefängnis;Ehem. Bezirksgefängnis;;00200202;1854~1856;regional;13.11.2017;AREV Nr. 1446/2017 Liste und Inventarblatt;-;;2676859;1237162
Objekt 12717;Affoltern am Albis;Affoltern am Albis;8910;Zürichstrasse 84;;Ehem. Vielzweckbauernhaus;;00200140;1674~1788;regional;08.05.1996;RRB Nr. 1279/1996 Einzelfestsetzung ohne Inventarblatt, AREV Nr. 1446/2017 Inventarblatt;PD;24.06.1996;2676823;1236753
Objekt 3914;Affoltern am Albis;Affoltern am Albis;8910;Kirchgasse 3;Affoltern am Albis: Pfrundliegenschaft;Kirche, ref.;;00200162;1500~1861;kantonal;19.12.1979;RRB Nr. 3438/1984 Knonaueramt, RRB Nr. 5113/1979 Liste Kanton;-;;2676904;1236843
Objekt 4538;Affoltern am Albis;Affoltern am Albis;8910;Butzenstrasse 8 bei;Affoltern am Albis: Primarschulanlage Butzen;Klassenzimmertrakt;;00200927;1965;regional;13.11.2017;AREV Nr. 1446/2017 Liste und Inventarblatt;-;;2677088;1236749
Objekt 7075;Affoltern am Albis;Affoltern am Albis;8910;Kirchgasse 1;Affoltern am Albis: Pfrundliegenschaft;Pfarrhaus, ref.;;00200158;1688;regional;19.12.1979;RRB Nr. 3438/1984 Knonaueramt, RRB Nr. 5113/1979 Liste Kanton;PD;10.06.1971;2676875;1236841
Objekt 4540;Affoltern am Albis;Affoltern am Albis;8910;Butzenstrasse 8 bei;Affoltern am Albis: Primarschulanlage Butzen;Singsaal/Aula;;00200928;1965;regional;13.11.2017;AREV Nr. 1446/2017 Liste und Inventarblatt;-;;2677068;1236786
Objekt 4542;Affoltern am Albis;Affoltern am Albis;8910;Wiesengrundstrasse;;Transformatorenstation Breite;;00200516;1937;regional;13.11.2017;AREV Nr. 1446/2017 Liste und Inventarblatt;-;;2676629;1237101
Objekt 4578;Affoltern am Albis;Zwillikon;8909;Ottenbacherstrasse;;Transformatorenstation Zwillikon;;00202331;1937~1910;regional;13.11.2017;AREV Nr. 1446/2017 Liste und Inventarblatt;-;;2675428;1237817
Objekt 4541;Affoltern am Albis;Affoltern am Albis;8910;Butzenstrasse 8 bei;Affoltern am Albis: Primarschulanlage Butzen;Turnhalle;;00200928;1965;regional;13.11.2017;AREV Nr. 1446/2017 Liste und Inventarblatt;-;;2677048;1236808
Objekt 22973;Affoltern am Albis;Affoltern am Albis;8910;Obere Kirchfeldstrasse 10;;Villa «Alpina»;;00200917;1907;regional;13.11.2017;AREV Nr. 1446/2017 Liste und Inventarblatt;-;;2676981;1236816
Objekt 7076;Affoltern am Albis;Affoltern am Albis;8910;Zürichstrasse 94a;Affoltern am Albis: Pfrundliegenschaft;Waschhaus;;00200160;1850;regional;19.12.1979;RRB Nr. 3438/1984 Knonaueramt, RRB Nr. 5113/1979 Liste Kanton;PD;10.06.1971;2676869;1236859
Objekt 4803;Affoltern am Albis;Zwillikon;8909;Weihermattstrasse 10 bei;Affoltern am Albis: Hofgruppe «Im Loo»;Waschhaus;;00202200;1797;regional;23.11.1988;RRB Nr. 3535/1988 Einzelfestsetzung ohne Inventarblatt, AREV Nr. 1446/2017 Inventarblatt;PD;13.07.1990;2675907;1237933
Objekt 14532;Affoltern am Albis;Affoltern am Albis;8910;Obere Bahnhofstrasse 20;;Wohnhaus «Friedheim»;;00200063;1905;regional;13.11.2017;AREV Nr. 1446/2017 Liste und Inventarblatt;ÖREB;29.08.2011;2676385;1236689
Objekt 14974;Altikon;Altikon;8479;"Feldi 19; Feldi 21";;Bauernhaus;;21100060;1754;-;;;PD;20.08.1973;2702339;1270746
Objekt 14995;Altikon;Altikon;8479;"Neunfornerstrasse 2; Neunfornerstrasse 4";;Bauernhaus;;21100105;1830;-;;;PD;06.02.1978;2701011;1270084
Objekt 15018;Altikon;Altikon;8479;Schulweg 3;;Bauernhaus, ehem.;;21100174;1820;-;;;PD;02.07.1980;2701066;1269927
Objekt 15936;Altikon;Altikon;8479;"Feldi 10; Feldi 8; Feldi 4";;Hausteil;;21100056;1780;-;;;PD;27.03.1980;2702343;1270672
Objekt 5022;Altikon;Altikon;8479;Kirchrain 7a;;Kirche, ref.;;21100164;1328~1896;kantonal;19.12.1979;RRB Nr. 5113/1979 Liste Kanton;-;;2700964;1269946
Objekt 5025;Altikon;Altikon;8479;Rickenbacherstrasse 19;;Primarschulhaus;;21100255;1962;regional;;;-;;2701157;1269861
Objekt 15019;Altikon;Altikon;8479;Dorfplatz 3;;Restaurant Thurtal;;21100177;1855;-;;;PD;06.05.1977;2701010;1270028
Objekt 5023;Altikon;Altikon;8479;"Schloss 4; Schloss 2";Altikon: Schlossanlage Altikon;Schloss, ehem. Schul- und Gemeindehaus;;21100172;1794;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton;-;;2701081;1269870
Objekt 5021;Altikon;Altikon;8479;Oberherten 6 bei;;Speicher, ehem.;;21100006;1850;regional;;;-;;2702359;1269389
Objekt 5024;Altikon;Altikon;8479;Schloss bei 2;Altikon: Schlossanlage Altikon;Waschhaus;;21100173;1794;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton;-;;2701075;1269849
Objekt 5028;Altikon;Altikon;8479;Bergstrasse;;Wasserreservoir Bühl;;;1909;regional;;;-;;2700725;1269830
Objekt 4706;Andelfingen;Andelfingen;8450;Neugutstrasse 15 bei;Andelfingen: Turmuhrenfabrik Mäder AG;1 Ober Orweiher;;;1874;regional;;;-;;2694327;1272321
Objekt 4707;Andelfingen;Andelfingen;8450;Neugutstrasse 15 bei;Andelfingen: Turmuhrenfabrik Mäder AG;2 Unter Orweiher;;;1874;kantonal;;;ÖREB;21.09.2017;2694198;1272419
Objekt 4710;Andelfingen;Andelfingen;8450;Neugutstrasse 15 bei;Andelfingen: Turmuhrenfabrik Mäder AG;4 Kraftmaschinenanlage mit Girardturbine;;;1874;regional;;;-;;2694182;1272531
Objekt 4711;Andelfingen;Andelfingen;8450;Neugutstrasse 15 bei;Andelfingen: Turmuhrenfabrik Mäder AG;5 Hostbach, Ablauf in die Thur;;;1874;regional;;;-;;2694163;1272534
Objekt 3725;Andelfingen;Andelfingen;8450;Bahnhofplatz SBB 1;Andelfingen: Bahnhofanlage Andelfingen;Aufnahmegebäude;;03000268;1870;regional;;;-;;2693215;1272199
Objekt 15105;Andelfingen;Andelfingen;8450;Thurtalstrasse 32;;Bauernhaus, ehem.;;03000065;1860;-;;;PD;18.09.1975;2693595;1272361
Objekt 14543;Andelfingen;Andelfingen;8450;Schlossgasse 29;;Bauernhaus, ehem.;;03000621;1500~1834;-;;;PD;25.01.1999;2693238;1272366
Objekt 13390;Andelfingen;Andelfingen;8450;Schlossgasse 20;;Bauernhaus, ehem.;;03000168;1750;-;;;PD;07.02.1974;2693313;1272445
Objekt 13348;Andelfingen;Andelfingen;8450;Schlossgasse 36;;Bauernhaus, ehem.;;03000146;1778;-;;;PD;09.02.1981;2693154;1272385
