ODB-ID;Gemeinde;Ort;PLZ;Strasse / Nr.;Ensemble;Objekt;publiziertes PDF;GVZ Nr.;Baujahr;Einstufung;Datum Erlass;Erlass;Eigentumsbeschränkung;Grundbucheintrag;E-Koordinate;N-Koordinate
Objekt 5603;Hittnau;Hittnau;8335;Dichterweg 1;Hittnau: Grosses Flarzhaus;Hausteil 1;;17300368;1600;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton, RRB Nr. 3488/1987 Zürcher Oberland;-;;2703961;1248245
Objekt 5604;Hittnau;Hittnau;8335;"Schönaustrasse 11 bei; Dichterweg; Schönaustrasse 9 bei";Hittnau: Grosses Flarzhaus;Hausteil 10;;17300367;1600;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton, RRB Nr. 3488/1987 Zürcher Oberland;-;;2703941;1248259
Objekt 5602;Hittnau;Hittnau;8335;Dürstelenstrasse 133;Hittnau: Ehemaliges Doppelbauernhaus;Hausteil 2;;17300139;1796;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton, RRB Nr. 3488/1987 Zürcher Oberland;-;;2706258;1247184
Objekt 5483;Hittnau;Hittnau;8335;Weggengasse 5;Hittnau: Reihenbauernhäuser/Flarz;Hausteil 2;;17300113;1544;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton, RRB Nr. 3488/1987 Zürcher Oberland;-;;2706130;1247193
Objekt 5605;Hittnau;Hittnau;8335;Schönaustrasse 15;Hittnau: Grosses Flarzhaus;Hausteil 2;;17300366;1600;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton, RRB Nr. 3488/1987 Zürcher Oberland;-;;2703956;1248246
Objekt 5606;Hittnau;Hittnau;8335;Schönaustrasse 13;Hittnau: Grosses Flarzhaus;Hausteil 3;;17300351;1600;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton, RRB Nr. 3488/1987 Zürcher Oberland;-;;2703950;1248250
Objekt 5484;Hittnau;Hittnau;8335;Weggengasse 7;Hittnau: Reihenbauernhäuser/Flarz;Hausteil 3;;17300114;1544~1601;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton, RRB Nr. 3488/1987 Zürcher Oberland;-;;2706138;1247187
Objekt 5607;Hittnau;Hittnau;8335;Schönaustrasse 11;Hittnau: Grosses Flarzhaus;Hausteil 4;;17300387;1600;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton, RRB Nr. 3488/1987 Zürcher Oberland;-;;2703946;1248251
Objekt 5608;Hittnau;Hittnau;8335;Schönaustrasse 9;Hittnau: Grosses Flarzhaus;Hausteil 5;;17300369;1600;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton, RRB Nr. 3488/1987 Zürcher Oberland;-;;2703933;1248248
Objekt 5609;Hittnau;Hittnau;8335;Schönaustrasse 7;Hittnau: Grosses Flarzhaus;Hausteil 6;;17300371;1600;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton, RRB Nr. 3488/1987 Zürcher Oberland;-;;2703929;1248249
Objekt 5610;Hittnau;Hittnau;8335;Bergstrasse 2;Hittnau: Grosses Flarzhaus;Hausteil 7;;17300372;1600;regional;19.12.1979;RRB Nr. 5113/1979 Liste Kanton, RRB Nr. 3488/1987 Zürcher Oberland;-;;2703918;1248255
